epoch,train_loss,val_loss,train_con_loss,val_con_loss,train_acc,val_acc
1,0.5417097453249422,0.006959486198041514,9.321874575365928,9.210303368044615,0.8041613186516248,0.9941224158897446
2,0.02186416678531958,0.0050652726820659124,9.175637606276956,9.128574330361207,0.9903397959872999,0.9957438184029185
3,0.011731336501569559,0.0031735264115000804,9.12414013919883,9.123552964098018,0.9930419509558874,0.9963518443453587
4,0.008431664343412559,0.002245777407947518,9.12385396990254,9.124091972935572,0.9943254745659664,0.9963518443453587
5,0.0071209214553086915,0.0021385704436695527,9.123398677035054,9.123602889934242,0.9947307978112546,0.9963518443453587
6,0.005480902478826506,0.00346301039739353,9.12268377679156,9.123876959000901,0.9952712288049721,0.9955411430887717
7,0.005896815580772348,0.001647773429921135,9.122685308803668,9.123059855330846,0.9953387826791867,0.9967571949736522
8,0.003965476693306553,0.001189499902604076,9.12272115788701,9.12281539307754,0.9960818752955483,0.996959870287799
9,0.005240424780341514,0.0013957844216790014,9.122771862205006,9.123112443878334,0.9952712288049721,0.996959870287799
10,0.005645905429372272,0.0033683014220706894,9.12273581237525,9.122858440242995,0.9954063365534014,0.9963518443453587
11,0.004429018310504176,0.0027051451367421024,9.122489401434576,9.123405722504838,0.9958792136729042,0.9963518443453587
12,0.0036077777318803696,0.0016458135499596957,9.12249409256131,9.123425249054115,0.9960143214213336,0.9965545196595055
13,0.002658044644923054,0.0015546798184680858,9.122374447698425,9.123195843799037,0.9965547524150511,0.9965545196595055
14,0.0038007779736932887,0.002669182151802837,9.12205200669476,9.12370930328802,0.9957441059244748,0.996149169031212
15,0.003499377628160922,0.0024262079438466914,9.122139500434566,9.123460022795282,0.9957441059244748,0.9963518443453587
16,0.00239239118106861,0.0018909249353421876,9.12193041776134,9.12401066514515,0.9965547524150511,0.9963518443453587
17,0.003004777193999365,0.002029054749800855,9.121976293599792,9.12321105929198,0.9962845369181924,0.9965545196595055
18,0.0028195702730135024,0.0059837579053809075,9.122029607621172,9.12410224339331,0.996149429169763,0.9951357924604783
19,0.0032358107395049057,0.0022068000364113527,9.12219456834567,9.123577118693067,0.996149429169763,0.9965545196595055
20,0.002556448646133411,0.0027484315634764183,9.122141793169927,9.123195907196923,0.996352090792407,0.9963518443453587
21,0.002628786373707628,0.0033816056160209454,9.12176686226174,9.122928368112651,0.9962169830439777,0.996149169031212
22,0.001484887095301753,0.0057187522306754255,9.122077702235783,9.123070347681189,0.9966223062892657,0.9959464937170652
23,0.0020231544877800213,0.002785860640475102,9.121990303586385,9.123290845533107,0.9966223062892657,0.9963518443453587
24,0.0022907502424132703,0.002359757900714567,9.121442445490736,9.122923961959486,0.9964871985408364,0.996149169031212
25,0.0009820081764805742,0.00220258962178809,9.12179646707504,9.123574202390252,0.9966898601634805,0.9963518443453587
26,0.0020962666576433923,0.002858191384989097,9.121379706953487,9.1233371893887,0.9964871985408364,0.9963518443453587
27,0.001272264551081615,0.0031556207725659978,9.121512358070893,9.123649677575045,0.9966898601634805,0.9963518443453587
28,0.0027588993753529523,0.00201746748587153,9.121948167970597,9.123347808534819,0.996352090792407,0.9963518443453587
29,0.0031720478953174273,0.0021130538222427974,9.12171254450829,9.123328123490822,0.996352090792407,0.996149169031212
